event_id,date,hour,lat,lon,area_ha,y_gt10ha,y_gt100ha,comuna,region,temporada,split
1430,2015-01-01,21,-35.27278,-71.49611,1.0,0,0,San Rafael,Maule,2014 al 2015,train
1431,2015-01-02,0,-35.48417,-71.69139,3.0,0,0,Maule,Maule,2014 al 2015,train
1432,2015-01-02,15,-35.87222,-71.60444,1.5,0,0,Linares,Maule,2014 al 2015,train
1433,2015-01-02,16,-35.10472,-71.67056,0.6,0,0,Sagrada Familia,Maule,2014 al 2015,train
1434,2015-01-02,17,-35.42056,-71.68639,0.25,0,0,Talca,Maule,2014 al 2015,train
1435,2015-01-03,11,-35.90889,-71.65056,0.1,0,0,Longaví,Maule,2014 al 2015,train
1436,2015-01-03,14,-34.96139,-71.37861,25.0,1,0,Rauco,Maule,2014 al 2015,train
1437,2015-01-03,13,-35.86833,-71.61056,10.0,0,0,Linares,Maule,2014 al 2015,train
1438,2015-01-03,15,-35.46417,-71.67278,0.5,0,0,Maule,Maule,2014 al 2015,train
1439,2015-01-03,14,-35.86639,-71.61361,5.0,0,0,Linares,Maule,2014 al 2015,train
1440,2015-01-03,16,-35.37278,-71.58889,0.8,0,0,Talca,Maule,2014 al 2015,train
1441,2015-01-03,17,-35.6225,-71.75333,0.6,0,0,Villa Alegre,Maule,2014 al 2015,train
1442,2015-01-03,18,-35.46944,-71.73833,0.3,0,0,Maule,Maule,2014 al 2015,train
1443,2015-01-04,12,-35.97444,-72.42694,0.6,0,0,Cauquenes,Maule,2014 al 2015,train
1444,2015-01-04,13,-35.37583,-71.43194,0.5,0,0,Pelarco,Maule,2014 al 2015,train
1445,2015-01-04,14,-35.82167,-71.65167,0.01,0,0,Linares,Maule,2014 al 2015,train
1446,2015-01-04,17,-35.94611,-72.35194,0.2,0,0,Cauquenes,Maule,2014 al 2015,train
1447,2015-01-04,18,-35.5525,-71.71833,0.01,0,0,Maule,Maule,2014 al 2015,train
1448,2015-01-04,19,-35.43722,-71.66278,0.1,0,0,Talca,Maule,2014 al 2015,train
1449,2015-01-05,11,-35.51694,-71.51556,3.0,0,0,San Clemente,Maule,2014 al 2015,train
